"Cidade","Precipitacao","Altitude","Distancia","Latitude"
"Crescent City",1901.698,10.668,1.61,41.7
"Eureka",1005.078,13.1064,1.61,40.8
"Fort Bragg",951.992,22.5552,1.61,39.4
"Pt. Piedas",490.982,17.3736,1.61,35.7
"Santa Barbara",455.93,36.576,1.61,34.4
"San Diego",252.476,5.7912,8.05,32.7
"San Francisco",546.608,15.8496,8.05,37.8
"Long Beach",313.944,15.24,19.32,33.8
"Salinas",351.79,22.5552,19.32,36.7
"Los Angeles",381.508,95.0976,25.76,34.1
"San Jose",359.918,28.956,45.08,37.4
"Pasa Robles",398.018,225.552,49.91,35.7
"Burbank",374.396,213.0552,75.67,34.2
"Thermal",462.28,1265.5296,112.7,33.8
"Los Banos",209.804,38.1,119.14,37.8
"Bakersfield",152.4,149.0472,120.75,35.4
"Sacramento",458.978,7.62,128.8,38.5
"Daggett",107.95,641.604,136.85,34.09
"Colusa",405.13,18.288,146.51,39.2
"Red Bluf",591.058,103.9368,156.17,40.2
"Fresno",239.776,100.8888,183.54,36.7
"Tule Lake",254.762,315.7728,225.4,41.9
"Mineral",1214.628,1478.28,228.62,40.4
"Giant Forest",1082.802,1938.528,233.45,36.6
"Soda Spring",1251.204,2058.0096,241.5,39.3
"Blythe",102.87,81.6864,249.55,33.6
"Needles",117.602,278.2824,309.12,34.8
"Death Valley",42.164,86,312.34,36.5
"Bishop",145.542,1252.1184,318.78,37.3
"Susanville",462.28,1265.5296,318.78,40.3
